qtd_membros,duracao_dias,cartoes_previstos,story_points_previstos,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
5,19,27,0.30137269001304506,3,4.3,0.11,0.11,47.71,0.41854778448998853
4,19,41,-0.8060751315306011,3,1.6,0.04,0.15,36.86,-0.5931445894442117
4,12,24,-0.41749694853283054,1,2.0,0.04,0.12,45.3,0.07244249867039375
3,18,43,-0.39418225755296427,0,4.1,0.19,0.16,30.44,1.1906288067029307
4,15,48,-0.41749694853283054,3,2.4,0.2,0.13,56.87,0.07244249867039375
6,14,37,0.6549788365410163,0,2.7,0.14,0.07,40.27,0.23218339981789904
3,17,24,-1.2917978602778144,3,2.9,0.22,0.1,67.63,-0.8593794246900538
6,17,31,1.2844754929974047,1,4.0,0.13,0.11,37.64,0.9510174549816728
3,19,39,-0.06777658383483698,0,4.0,0.21,0.14,67.89,1.9360863453912889
7,17,32,0.029367961914605674,3,4.3,0.16,0.23,59.12,-0.8593794246900538
6,14,46,0.9813845102591436,1,3.3,0.24,0.1,45.15,0.604912169162078
3,19,20,-0.9537348410697539,2,1.5,0.16,0.12,50.1,-0.08729840247711154
3,15,38,-0.7089305857811584,3,2.5,0.1,0.19,44.35,0.47179475153915695
6,11,27,0.2819437808631566,2,4.4,0.15,0.17,53.19,-0.1937923365754484
6,20,41,1.9139721494537931,1,2.3,0.07,0.06,61.58,1.6698515101454467
7,10,50,-0.10663440213461403,0,3.7,0.23,0.18,66.42,-0.9924968423129749
7,21,44,1.71579727612493,0,4.1,0.25,0.14,50.93,0.7912765538341675
3,16,45,-0.9770495320496202,0,3.3,0.26,0.07,68.93,-0.14054536952627997
6,19,33,1.704139930634997,1,3.2,0.24,0.18,34.06,1.4302401584241886
6,17,39,0.8881257463396787,0,4.1,0.21,0.12,62.7,0.49841823506374117
4,11,22,-0.7439026222509578,3,1.7,0.23,0.14,48.83,-0.48665065534587476
5,18,23,0.1653703259638254,1,2.3,0.05,0.12,60.9,0.23218339981789904
3,12,36,-1.443343351646945,1,2.7,0.17,0.12,68.98,-1.2054847105096487
3,20,21,-0.6506438583314929,1,2.1,0.05,0.11,53.19,0.604912169162078
6,18,50,-0.18435003873416816,1,2.6,0.09,0.13,36.78,-0.7262620070671327
4,10,26,-0.8837907681301552,2,4.4,0.14,0.21,36.26,-0.7262620070671327
7,20,39,3.157422335046659,0,2.5,0.24,0.09,61.54,2.202321180637131
6,16,31,1.4476783298564684,1,3.3,0.19,0.13,33.53,1.1373818396537623
7,15,31,-0.24263676618383376,0,4.1,0.2,0.09,40.23,-1.125614259935896
4,17,38,0.09542625302422668,1,3.9,0.15,0.15,67.78,0.9510174549816728
3,16,24,-1.3500845877274799,3,1.7,0.08,0.11,36.14,-0.9924968423129749
6,20,22,1.9139721494537931,3,4.0,0.1,0.19,33.34,1.6698515101454467
6,15,30,1.214531420057806,3,2.0,0.08,0.14,60.1,0.8711470044079201
4,19,36,0.3752025447826215,2,2.6,0.08,0.1,35.33,1.4302401584241886
6,13,24,-0.7672173132308241,3,2.2,0.16,0.15,63.54,-1.3918490951817382
5,17,34,1.0202423285589206,1,4.0,0.21,0.1,39.79,1.4036166748996044
3,12,24,-1.0236789140093527,2,2.3,0.19,0.09,50.59,-0.24703930362461685
3,21,20,-0.569042439901961,2,3.8,0.2,0.17,43.82,0.7912765538341675
7,10,45,0.4373750540622648,1,4.5,0.1,0.18,48.36,-0.46002717182129055
3,15,26,-1.058650950479152,3,3.8,0.25,0.12,36.26,-0.3269097541983695
6,20,42,0.0487968710644942,0,1.6,0.12,0.16,61.4,-0.46002717182129055
5,10,29,-0.5340704034321617,2,2.5,0.18,0.16,61.52,-0.7262620070671327
4,14,36,-0.32423818461336557,0,2.9,0.19,0.18,32.94,0.23218339981789904
5,11,45,-1.0003642230294865,3,1.9,0.05,0.07,40.87,-1.365225611657154
4,15,35,0.0487968710644942,2,4.4,0.17,0.13,33.71,0.8711470044079201
4,20,48,0.20422814426360245,3,2.2,0.08,0.08,41.26,1.1373818396537623
5,20,29,0.4373750540622648,0,3.6,0.14,0.18,31.72,0.604912169162078
7,11,22,0.1109693803441375,3,3.1,0.16,0.1,56.69,-0.7795089741163012
3,17,43,-1.2917978602778144,3,2.5,0.15,0.08,45.2,-0.8593794246900538
4,20,46,-0.728359494931047,0,3.9,0.2,0.14,56.66,-0.46002717182129055
5,11,24,-1.0003642230294865,2,2.6,0.25,0.15,63.69,-1.365225611657154
6,20,30,0.5150906906618189,1,3.1,0.24,0.12,49.53,0.07244249867039375
3,20,46,-0.41749694853283054,2,3.9,0.23,0.15,56.61,1.1373818396537623
4,12,48,-1.1635670598885501,2,2.1,0.08,0.07,46.84,-1.2054847105096487
6,20,49,2.3802659690511176,3,2.3,0.17,0.11,32.0,2.202321180637131
6,15,38,0.5150906906618189,2,3.8,0.19,0.21,30.38,0.07244249867039375
5,20,47,0.0487968710644942,2,2.2,0.22,0.07,62.06,0.07244249867039375
4,17,39,-0.16880691141425733,1,3.4,0.2,0.18,47.35,0.49841823506374117
6,17,41,0.4917759996819527,0,2.0,0.21,0.18,42.02,0.04581901514580953
7,16,47,0.328573162822889,2,2.6,0.12,0.11,52.89,-0.5665211059196275
7,17,26,0.029367961914605674,3,2.2,0.08,0.09,53.24,-0.8593794246900538
7,19,41,1.8517996401741497,2,2.2,0.11,0.1,39.91,0.9243939714570886
4,14,36,-0.9770495320496202,1,2.9,0.14,0.13,55.88,-0.886002908214638
5,20,30,0.8259532370600354,2,2.3,0.05,0.13,56.94,1.1373818396537623
3,21,40,-0.0794339293247701,1,4.2,0.17,0.21,58.36,1.9094628618667047
4,21,48,0.0021674891047617313,3,4.0,0.15,0.1,61.84,0.7912765538341675
3,21,49,-0.8138466951905565,2,3.6,0.18,0.15,66.27,0.23218339981789904
4,11,25,-1.085851423288996,2,2.0,0.15,0.1,32.32,-1.0723672928867274
7,11,26,0.41017458125242084,3,2.3,0.11,0.1,35.12,-0.48665065534587476
5,19,31,1.4088205115566912,0,3.9,0.27,0.17,43.93,1.9360863453912889
5,20,36,0.8259532370600354,3,3.2,0.26,0.07,33.73,1.1373818396537623
7,15,46,1.797398694554462,2,4.0,0.22,0.2,46.71,0.8711470044079201
4,16,28,0.20422814426360245,3,4.0,0.15,0.09,33.92,1.1373818396537623
6,17,37,0.09542625302422668,3,1.8,0.11,0.08,35.41,-0.4067802047721221
6,15,33,0.5150906906618189,0,2.4,0.12,0.06,62.68,0.07244249867039375
6,20,29,1.9139721494537931,1,2.9,0.14,0.08,66.83,1.6698515101454467
4,21,26,0.9813845102591436,2,1.8,0.12,0.1,47.98,2.468556015882973
4,10,44,-0.728359494931047,1,2.7,0.09,0.15,62.51,-0.46002717182129055
4,12,40,-0.41749694853283054,1,1.5,0.05,0.09,42.62,0.07244249867039375
4,11,24,-0.7439026222509578,0,3.2,0.2,0.09,34.43,-0.48665065534587476
5,15,32,-0.5340704034321617,2,2.1,0.1,0.14,65.91,-0.7262620070671327
5,14,41,-0.6506438583314929,2,2.6,0.25,0.14,49.14,-0.886002908214638
6,16,25,0.328573162822889,3,2.0,0.05,0.08,44.41,-0.14054536952627997
6,11,45,0.2819437808631566,3,3.0,0.18,0.09,32.98,-0.1937923365754484
4,13,48,-1.070308295969085,2,4.5,0.2,0.11,38.71,-1.0457438093621432
4,11,30,-1.085851423288996,3,1.7,0.04,0.14,50.94,-1.0723672928867274
4,20,33,-0.41749694853283054,1,1.7,0.05,0.11,68.87,0.07244249867039375
4,11,48,-0.5729282217319388,0,3.3,0.09,0.1,50.51,-0.1937923365754484
7,15,38,0.1653703259638254,1,1.6,0.22,0.04,45.17,-0.7262620070671327
5,15,40,0.34023050831282214,2,3.1,0.08,0.07,52.11,0.47179475153915695
6,19,32,0.3752025447826215,0,2.6,0.09,0.14,47.47,-0.08729840247711154
5,21,48,0.9813845102591436,1,1.5,0.23,0.1,34.48,1.350369707850436
5,19,27,1.0396712377088093,2,1.7,0.12,0.11,62.72,1.4302401584241886
4,13,34,-0.8682476408102444,0,4.2,0.21,0.14,39.3,-0.6996385235425485
4,15,26,0.0487968710644942,3,4.0,0.09,0.12,43.77,0.8711470044079201
6,15,40,0.1653703259638254,2,3.3,0.25,0.15,42.81,-0.3269097541983695
5,20,31,0.4373750540622648,1,3.9,0.09,0.16,58.75,0.604912169162078
7,10,20,-0.37863913023305346,3,2.8,0.25,0.16,69.91,-1.258731677558817
5,20,32,0.8259532370600354,2,4.2,0.26,0.12,36.85,1.1373818396537623
6,15,31,0.8648110553598125,1,2.2,0.17,0.18,30.5,0.47179475153915695
7,13,28,0.8997830918296118,3,3.6,0.14,0.08,33.44,-0.007427951903358899
7,19,35,0.30137269001304506,0,4.2,0.14,0.22,32.88,-0.5931445894442117
7,11,28,0.41017458125242084,3,3.4,0.19,0.15,67.03,-0.48665065534587476
3,15,21,-0.7089305857811584,3,3.1,0.13,0.15,45.79,0.47179475153915695
5,19,28,1.0396712377088093,0,1.5,0.13,0.07,68.2,1.4302401584241886
4,18,37,-0.8837907681301552,2,3.4,0.19,0.19,53.35,-0.7262620070671327
5,13,44,-0.5146414942822731,2,2.6,0.19,0.08,32.88,-0.6996385235425485
7,11,26,-0.18823582056414587,0,2.2,0.06,0.05,45.69,-1.0723672928867274
6,17,50,1.6808252396551306,1,3.5,0.24,0.12,69.86,1.4036166748996044
4,14,31,-0.10663440213461403,3,4.5,0.12,0.1,51.52,0.604912169162078
3,12,22,-1.0236789140093527,3,4.4,0.15,0.23,48.17,-0.24703930362461685
5,21,30,-0.24263676618383376,1,1.8,0.1,0.07,68.14,-0.3269097541983695
7,19,31,1.3349906567871148,0,2.4,0.09,0.05,44.77,0.41854778448998853
6,18,46,1.494307711816201,1,2.9,0.06,0.2,46.1,1.1906288067029307
3,14,43,-1.3034552057677475,0,1.8,0.1,0.05,61.75,-0.886002908214638
7,16,34,0.328573162822889,1,1.9,0.2,0.06,36.17,-0.5665211059196275
4,12,48,-0.41749694853283054,1,2.5,0.07,0.2,44.16,0.07244249867039375
5,12,40,-1.1169376779288176,2,4.4,0.17,0.1,62.36,-1.5249665128046592
5,19,35,1.4088205115566912,3,2.5,0.22,0.15,55.28,1.9360863453912889
4,12,23,-0.7905320042106903,2,3.0,0.12,0.15,41.67,-0.5665211059196275
7,16,48,0.7637807277803921,3,1.5,0.14,0.12,36.85,-0.14054536952627997
7,17,40,2.3414081507513407,0,2.2,0.23,0.17,40.01,1.4036166748996044
7,13,25,0.5461769453016405,0,2.4,0.16,0.06,46.25,-0.3535332377229537
5,16,22,-0.41749694853283054,3,2.0,0.23,0.18,37.65,-0.5665211059196275
4,12,28,-1.3500845877274799,1,4.2,0.28,0.19,42.88,-1.5249665128046592
6,11,46,0.025482180084627968,3,2.3,0.17,0.06,46.56,-0.48665065534587476
5,10,26,-0.9226485864299323,2,2.3,0.22,0.05,40.95,-1.258731677558817
6,13,20,0.7482376004604813,3,4.4,0.1,0.17,59.07,0.3386773339162359
7,19,50,1.8517996401741497,2,2.6,0.07,0.11,52.2,0.9243939714570886
7,18,34,1.6341958576953983,3,3.8,0.15,0.13,69.21,0.7114061032604149
7,13,45,0.5461769453016405,1,2.1,0.07,0.1,33.12,-0.3535332377229537
4,11,47,-0.9148770227699768,2,4.4,0.24,0.17,50.87,-0.7795089741163012
4,17,39,0.09542625302422668,0,1.6,0.17,0.08,67.59,0.9510174549816728
6,21,27,2.123804368272589,0,3.0,0.11,0.07,64.16,1.9094628618667047
7,20,32,2.0694034226529014,0,3.2,0.22,0.11,40.57,1.1373818396537623
4,17,22,-0.6972732402912254,1,1.6,0.05,0.04,66.38,-0.4067802047721221
7,14,20,0.0021674891047617313,3,1.8,0.16,0.15,64.33,-0.886002908214638
4,19,23,0.07988312570431585,0,2.3,0.2,0.09,40.63,0.9243939714570886
4,18,39,-0.32423818461336557,2,2.0,0.11,0.1,51.56,0.23218339981789904
3,17,39,-0.6972732402912254,0,4.1,0.22,0.1,30.05,0.49841823506374117
3,16,37,-1.1635670598885501,1,4.3,0.13,0.1,62.8,-0.5665211059196275
4,15,33,-0.41749694853283054,3,2.2,0.04,0.19,53.76,0.07244249867039375
7,17,33,0.4917759996819527,0,2.7,0.24,0.09,44.74,-0.4067802047721221
5,10,36,-0.5340704034321617,2,3.6,0.14,0.13,53.88,-0.7262620070671327
3,10,39,-1.3500845877274799,0,4.5,0.1,0.21,46.31,-0.9924968423129749
5,17,33,0.6899508730108157,1,4.0,0.12,0.1,45.82,0.9510174549816728
3,17,21,-1.2917978602778144,0,3.8,0.22,0.1,51.68,-0.8593794246900538
7,12,41,-0.6506438583314929,0,4.3,0.1,0.17,57.76,-1.5249665128046592
3,11,43,-1.5132874245865435,3,1.8,0.05,0.17,37.47,-1.365225611657154
6,21,31,2.6134128788497804,3,3.3,0.24,0.07,48.84,2.468556015882973
3,18,35,-0.6040144763717604,1,2.0,0.07,0.07,53.36,0.7114061032604149
3,20,32,-0.6506438583314929,0,3.1,0.14,0.17,31.94,0.604912169162078
7,11,23,0.7093797821607042,0,4.5,0.18,0.23,35.89,-0.1937923365754484
7,21,35,0.5733774181114845,3,2.6,0.17,0.13,38.62,-0.3269097541983695
6,16,39,1.0746432741786085,2,2.2,0.05,0.14,51.96,0.7114061032604149
7,16,35,1.6341958576953983,0,3.6,0.09,0.21,43.82,0.7114061032604149
7,17,36,0.4917759996819527,0,3.2,0.22,0.14,38.43,-0.4067802047721221
4,15,20,-0.8837907681301552,1,3.6,0.26,0.11,31.72,-0.7262620070671327
4,19,31,0.07988312570431585,3,2.9,0.2,0.07,32.44,0.9243939714570886
4,15,23,-1.1169376779288176,2,3.6,0.13,0.1,51.02,-1.125614259935896
6,19,33,2.1471190592524554,2,2.2,0.08,0.08,62.06,1.9360863453912889
5,11,35,-0.7866462223807126,1,3.9,0.18,0.08,54.98,-1.0723672928867274
3,15,50,-0.7089305857811584,3,2.7,0.19,0.11,60.15,0.47179475153915695
5,10,50,-0.3397813119332764,3,3.9,0.22,0.18,38.39,-0.46002717182129055
4,11,41,-1.427800224327034,0,1.8,0.07,0.14,62.22,-1.6580839304275803
7,19,33,0.30137269001304506,2,1.9,0.13,0.07,54.25,-0.5931445894442117
7,20,33,0.9813845102591436,1,2.8,0.09,0.2,45.7,0.07244249867039375
7,15,20,0.5733774181114845,2,1.8,0.15,0.13,52.26,-0.3269097541983695
3,10,43,-1.1169376779288176,3,2.8,0.07,0.08,38.92,-0.46002717182129055
6,12,21,0.2353143989034241,2,4.1,0.23,0.18,58.96,-0.24703930362461685
4,19,37,-0.8060751315306011,0,4.2,0.2,0.11,53.74,-0.5931445894442117
7,14,23,-0.37863913023305346,3,3.9,0.13,0.18,37.63,-1.258731677558817
3,21,35,-1.058650950479152,1,1.6,0.11,0.17,51.16,-0.3269097541983695
3,10,39,-1.4666580426268112,1,3.9,0.26,0.17,30.65,-1.258731677558817
6,20,33,0.0487968710644942,2,3.4,0.25,0.1,45.97,-0.46002717182129055
7,18,22,1.1445873471182073,1,3.3,0.26,0.1,65.1,0.23218339981789904
4,10,49,-1.1946533145283718,0,1.6,0.1,0.15,54.82,-1.258731677558817
7,12,49,0.0021674891047617313,3,4.4,0.21,0.16,43.58,-0.886002908214638
4,18,23,-0.04446189285497074,3,3.1,0.19,0.14,67.38,0.7114061032604149
4,13,44,-0.8682476408102444,0,3.4,0.17,0.12,50.44,-0.6996385235425485
5,20,41,0.0487968710644942,0,2.5,0.19,0.14,58.91,0.07244249867039375
7,19,46,0.30137269001304506,0,2.6,0.2,0.16,30.12,-0.5931445894442117
5,21,45,0.1653703259638254,1,3.3,0.19,0.14,62.73,0.23218339981789904
6,17,40,0.4917759996819527,2,4.3,0.19,0.11,42.44,0.04581901514580953
7,10,36,0.1653703259638254,0,3.3,0.15,0.11,51.54,-0.7262620070671327
7,13,37,0.8997830918296118,2,3.7,0.27,0.14,55.9,-0.007427951903358899
7,20,34,3.157422335046659,3,2.3,0.12,0.17,67.3,2.202321180637131
3,18,21,-0.8138466951905565,2,2.1,0.09,0.18,38.93,0.23218339981789904
6,12,36,-0.32423818461336557,2,2.1,0.07,0.17,54.04,-0.886002908214638
5,17,31,-0.30092349363349935,3,4.0,0.15,0.21,54.36,-0.4067802047721221
3,10,24,-1.3500845877274799,3,4.5,0.15,0.21,67.6,-0.9924968423129749
5,19,27,-0.436925857682719,1,1.7,0.23,0.08,63.87,-0.5931445894442117
4,12,31,-0.6040144763717604,1,2.8,0.22,0.12,41.22,-0.24703930362461685
5,12,31,-0.6506438583314929,0,4.1,0.1,0.13,61.23,-0.886002908214638
7,17,21,1.4165920752166468,2,3.0,0.22,0.16,30.28,0.49841823506374117
7,13,40,-0.16103534775430192,1,3.1,0.22,0.17,44.15,-1.0457438093621432
4,17,23,-0.9615064047297094,2,2.2,0.16,0.16,60.19,-0.8593794246900538
6,14,44,0.9813845102591436,3,2.0,0.13,0.15,54.11,0.604912169162078
6,14,25,0.0021674891047617313,3,4.1,0.26,0.13,30.08,-0.513274138870459
3,12,34,-1.0236789140093527,3,4.2,0.16,0.18,39.36,-0.24703930362461685
6,19,39,1.704139930634997,1,2.3,0.22,0.11,60.74,1.4302401584241886
6,21,45,2.6134128788497804,0,3.5,0.12,0.16,45.44,2.468556015882973
7,19,29,0.30137269001304506,2,2.8,0.22,0.13,45.88,-0.5931445894442117
5,17,26,0.6899508730108157,0,4.3,0.13,0.18,60.94,0.9510174549816728
7,21,26,1.1445873471182073,3,3.2,0.08,0.19,35.57,0.23218339981789904
7,15,44,1.797398694554462,3,3.2,0.25,0.17,39.86,0.8711470044079201
5,14,23,0.4373750540622648,2,4.1,0.22,0.12,31.56,0.604912169162078
4,21,37,-0.32423818461336557,0,3.9,0.17,0.22,66.4,0.23218339981789904
7,21,40,2.8582171341383757,0,2.6,0.1,0.16,46.94,1.9094628618667047
7,17,39,1.4165920752166468,3,1.9,0.19,0.16,59.84,0.49841823506374117
3,12,43,-1.443343351646945,0,2.6,0.24,0.18,35.8,-1.2054847105096487
7,16,28,1.1989882927378952,1,2.8,0.09,0.12,57.77,0.28543036686706746
4,18,45,0.5150906906618189,0,3.9,0.23,0.19,53.63,1.6698515101454467
5,18,40,-0.5340704034321617,1,2.7,0.19,0.15,48.84,-0.7262620070671327
4,20,28,-0.728359494931047,3,4.2,0.11,0.2,64.33,-0.46002717182129055
3,18,35,-0.39418225755296427,0,2.2,0.17,0.16,37.98,1.1906288067029307
5,20,41,1.6031096030555765,3,2.2,0.21,0.07,44.29,2.202321180637131
4,11,28,-0.7439026222509578,0,2.8,0.15,0.11,40.31,-0.48665065534587476
7,12,49,0.9813845102591436,3,1.9,0.06,0.05,55.94,0.07244249867039375
3,18,44,-0.39418225755296427,0,3.3,0.17,0.18,40.79,1.1906288067029307
3,11,23,-1.1285950234187507,1,2.7,0.19,0.16,48.33,-0.48665065534587476
6,17,46,0.4917759996819527,1,3.1,0.09,0.2,32.87,0.04581901514580953
4,18,47,-0.04446189285497074,0,4.1,0.27,0.17,69.91,0.7114061032604149
7,21,20,0.5733774181114845,0,4.0,0.23,0.13,52.77,-0.3269097541983695
6,21,44,1.6341958576953983,1,3.4,0.24,0.15,62.25,1.350369707850436
5,13,41,0.2430859625633795,3,1.7,0.19,0.06,64.96,0.3386773339162359
5,21,45,0.5733774181114845,3,4.2,0.17,0.09,65.22,0.7912765538341675
7,17,50,2.3414081507513407,2,1.8,0.05,0.18,51.78,1.4036166748996044
4,13,33,-0.46412633049256297,2,2.6,0.14,0.14,56.75,-0.007427951903358899
7,21,20,3.4294270631450985,1,3.2,0.13,0.09,60.06,2.468556015882973
3,14,32,-1.4666580426268112,3,4.1,0.2,0.09,56.06,-1.258731677558817
7,18,29,1.1445873471182073,3,2.3,0.11,0.05,38.61,0.23218339981789904
3,20,36,-0.6506438583314929,3,3.6,0.12,0.12,46.91,0.604912169162078
4,13,20,-0.8682476408102444,1,4.0,0.09,0.19,69.91,-0.6996385235425485
3,17,43,-0.30092349363349935,2,3.5,0.14,0.1,40.06,1.4036166748996044
5,16,21,0.8259532370600354,0,2.3,0.08,0.19,50.69,1.1373818396537623
5,15,20,0.34023050831282214,1,2.6,0.2,0.19,52.89,0.47179475153915695
3,12,47,-0.8837907681301552,1,2.2,0.14,0.19,35.08,0.07244249867039375
3,11,41,-1.3850566241972793,0,1.6,0.21,0.09,51.93,-1.0723672928867274
4,16,46,-0.7905320042106903,0,1.7,0.05,0.13,60.66,-0.5665211059196275
5,17,26,0.6899508730108157,2,3.0,0.14,0.08,33.21,0.9510174549816728
6,21,29,1.6341958576953983,3,2.2,0.06,0.15,50.55,1.350369707850436
6,12,20,0.2353143989034241,1,1.7,0.07,0.05,37.42,-0.24703930362461685
5,17,46,0.6899508730108157,0,1.7,0.04,0.15,44.83,0.9510174549816728
5,17,40,-0.6312149491816044,3,1.8,0.21,0.12,63.68,-0.8593794246900538
5,13,48,0.2430859625633795,3,1.6,0.14,0.1,53.15,0.3386773339162359
4,11,41,-1.427800224327034,2,4.3,0.12,0.22,65.82,-1.6580839304275803
4,19,30,-0.8060751315306011,2,2.9,0.08,0.11,31.66,-0.5931445894442117
7,17,27,0.9541840374492997,2,1.5,0.08,0.13,52.79,0.04581901514580953
4,20,22,0.8259532370600354,3,1.6,0.13,0.12,59.9,2.202321180637131
7,11,24,0.7093797821607042,1,1.9,0.07,0.11,40.72,-0.1937923365754484
6,18,25,1.0746432741786085,1,2.8,0.16,0.12,54.17,0.7114061032604149
4,21,42,0.0021674891047617313,3,3.2,0.18,0.14,33.16,0.7912765538341675
7,15,43,0.9813845102591436,3,1.7,0.16,0.18,33.42,0.07244249867039375
6,14,27,0.0021674891047617313,0,1.8,0.08,0.04,51.06,-0.513274138870459
7,20,46,3.157422335046659,1,3.1,0.1,0.08,39.19,2.202321180637131
6,19,48,1.2611608020175384,1,1.8,0.17,0.04,46.33,0.9243939714570886
4,13,48,-1.070308295969085,3,2.1,0.1,0.08,65.04,-1.0457438093621432
5,12,25,-1.1169376779288176,2,2.2,0.05,0.14,43.63,-1.5249665128046592
3,13,22,-0.9187628045999546,1,3.7,0.12,0.12,51.66,-0.007427951903358899
5,17,28,0.6899508730108157,3,2.2,0.1,0.19,47.07,0.9510174549816728
4,18,25,0.2353143989034241,3,4.1,0.1,0.11,62.25,1.1906288067029307
3,10,50,-1.1169376779288176,1,2.8,0.06,0.18,67.73,-0.46002717182129055
6,15,35,0.5150906906618189,2,4.1,0.23,0.19,43.56,0.07244249867039375
6,19,50,-0.06777658383483698,0,3.5,0.25,0.2,45.46,-0.5931445894442117
6,14,38,0.9813845102591436,0,2.0,0.15,0.09,53.03,0.604912169162078
7,13,39,1.253389238357583,3,4.3,0.22,0.12,69.63,0.3386773339162359
5,14,34,-0.6506438583314929,3,1.6,0.05,0.05,64.01,-0.886002908214638
5,13,42,-0.7672173132308241,2,2.4,0.14,0.05,48.49,-1.0457438093621432
5,16,23,0.5150906906618189,3,3.0,0.22,0.07,48.87,0.7114061032604149
6,13,20,0.4451466177222202,1,2.4,0.17,0.09,60.84,-0.007427951903358899
7,13,38,-0.5146414942822731,1,4.4,0.23,0.14,39.2,-1.3918490951817382
5,21,24,0.9813845102591436,1,2.2,0.07,0.11,63.16,1.350369707850436
3,12,29,-1.0236789140093527,1,3.6,0.22,0.13,47.99,-0.24703930362461685
7,12,50,-0.6506438583314929,3,3.1,0.24,0.08,40.75,-1.5249665128046592
3,18,21,-0.6040144763717604,3,1.8,0.12,0.15,48.2,0.7114061032604149
3,14,41,-0.9770495320496202,1,1.6,0.21,0.13,40.01,-0.14054536952627997
7,15,40,-0.24263676618383376,1,1.6,0.23,0.12,37.72,-1.125614259935896
5,13,44,-0.26206567533372227,0,1.5,0.08,0.11,53.73,-0.3535332377229537
4,18,22,-0.6040144763717604,0,3.0,0.16,0.11,36.29,-0.24703930362461685
3,21,40,-0.569042439901961,0,4.3,0.1,0.17,38.23,0.7912765538341675
5,17,23,-0.30092349363349935,2,4.3,0.28,0.22,65.54,-0.4067802047721221
4,18,28,0.5150906906618189,1,2.1,0.15,0.1,50.13,1.6698515101454467
6,16,26,1.4476783298564684,0,2.0,0.1,0.06,66.72,1.1373818396537623
5,16,23,0.20422814426360245,2,2.8,0.11,0.19,33.41,0.28543036686706746
6,18,21,0.2353143989034241,3,1.7,0.08,0.05,40.88,-0.24703930362461685
5,10,39,-0.5340704034321617,0,1.6,0.06,0.05,55.52,-0.7262620070671327
4,14,28,-1.1946533145283718,3,2.2,0.19,0.12,66.85,-1.258731677558817
6,12,29,-0.04446189285497074,3,2.5,0.23,0.12,42.65,-0.5665211059196275
5,14,45,-0.10663440213461403,0,4.1,0.1,0.11,69.68,-0.14054536952627997
5,19,36,1.4088205115566912,0,4.2,0.26,0.14,62.81,1.9360863453912889
6,17,29,1.2844754929974047,2,2.9,0.08,0.13,38.79,0.9510174549816728
5,14,38,-0.9226485864299323,3,3.0,0.24,0.19,30.58,-1.258731677558817
6,20,46,0.0487968710644942,0,2.2,0.19,0.09,55.2,-0.46002717182129055
3,20,24,-0.41749694853283054,1,4.1,0.24,0.18,66.08,1.1373818396537623
5,11,41,-0.5729282217319388,3,2.5,0.07,0.1,61.83,-0.7795089741163012
7,12,34,-0.6506438583314929,0,2.7,0.22,0.07,44.87,-1.5249665128046592
7,10,23,-0.6506438583314929,3,2.6,0.21,0.14,30.74,-1.5249665128046592
4,18,35,0.2353143989034241,3,2.4,0.2,0.09,34.16,1.1906288067029307
4,10,38,-0.728359494931047,2,2.4,0.15,0.09,58.25,-0.46002717182129055
5,11,22,-0.5729282217319388,2,2.6,0.06,0.18,43.98,-0.7795089741163012
7,20,22,3.157422335046659,2,1.6,0.11,0.11,68.06,2.202321180637131
5,17,25,-0.6312149491816044,1,3.0,0.08,0.1,58.08,-0.8593794246900538
5,16,20,-0.41749694853283054,0,3.9,0.08,0.22,69.49,-0.5665211059196275
5,16,39,0.20422814426360245,2,3.8,0.1,0.14,54.29,0.28543036686706746
6,19,24,-0.06777658383483698,3,3.9,0.19,0.08,47.52,-0.5931445894442117
5,13,37,-1.019793132179375,3,2.5,0.11,0.11,66.6,-1.3918490951817382
4,19,48,0.6705219638609271,2,3.4,0.22,0.17,68.21,1.9360863453912889
6,18,24,1.494307711816201,1,1.8,0.11,0.11,34.23,1.1906288067029307
6,12,39,-0.6040144763717604,1,4.2,0.17,0.19,35.49,-1.2054847105096487
6,16,50,-0.04446189285497074,3,3.7,0.27,0.14,47.36,-0.5665211059196275
6,16,47,0.7016082185007488,1,4.4,0.13,0.2,41.14,0.28543036686706746
7,17,42,1.4165920752166468,0,2.7,0.24,0.06,65.21,0.49841823506374117
4,17,49,-0.16880691141425733,2,3.6,0.1,0.15,33.29,0.49841823506374117
3,16,38,-0.9770495320496202,2,3.6,0.2,0.17,51.08,-0.14054536952627997
4,11,50,-0.7439026222509578,1,2.1,0.23,0.16,45.23,-0.48665065534587476
7,19,28,1.8517996401741497,3,3.5,0.12,0.09,30.69,0.9243939714570886
4,13,32,-1.070308295969085,0,4.3,0.2,0.12,46.74,-1.0457438093621432
5,13,27,-0.5146414942822731,3,3.7,0.12,0.12,54.53,-0.6996385235425485
7,12,31,0.328573162822889,2,3.1,0.24,0.11,34.02,-0.5665211059196275
6,21,39,1.1445873471182073,2,2.2,0.06,0.09,61.55,0.7912765538341675
6,21,34,2.6134128788497804,0,3.6,0.08,0.07,49.13,2.468556015882973
3,12,22,-1.443343351646945,3,4.3,0.12,0.2,30.16,-1.2054847105096487
3,16,23,-0.9770495320496202,2,2.9,0.08,0.06,31.84,-0.14054536952627997
6,18,24,1.9139721494537931,0,3.9,0.15,0.09,50.5,1.6698515101454467
